Publicar,sku,nombre_producto,Descripciones,nombre_variante,grupo_variante,presentacion,color,categoria,subcategoria,precio_cop,stock,gestionar_stock,peso_kg,codigo_industrial,url_slug,imagen_principal,galeria_imagenes,usos,caracteristicas,aplicacion_faq,pre_tratamiento,ficha_tecnica_url,ghs_pictogramas,precauciones_h,consejos_prudencia_p,modo_empleo
SI,MA-BL-120,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 120cc,MA-BL,120cc,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,1122010102,maxon-blanco-120cc,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-BL-375,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 375cc,MA-BL,375cc,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,1122010104,maxon-blanco-375cc,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-BL-750,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 750cc,MA-BL,750cc,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,1122010109,maxon-blanco-750cc,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-BL-036,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 3600,MA-BL,3600cc,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,1122010118,maxon-blanco-3-6l,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-BL-010,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 10000,MA-BL,10000cc,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,,,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS09,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-BL-043,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 4.3 Gal,MA-BL,4.3 Gal,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,1122010127,maxon-blanco-4-3-gal,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-BL-045,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 4.5 Gal,MA-BL,"4,5 Gal",,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,,maxon-blanco-4-5-gal,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS09,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-BL-080,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 8 Gal,MA-BL,8 Gal,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,1122010183,maxon-blanco-8-gal,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-BL-530,Maxón Blanco,"Es un adhesivo de contacto de poliuretano, reactivable al calor, en solventes cetónicos.

Características: Líquido viscoso blancuzco con olor a cetonas. Alta fuerza inicial y final, amplia viscosidad y 4 minutos de tiempo abierto en caliente.

Usos Principales:
Calzado: Ensuelado de diversos materiales (naturales, PVC, PU, caucho, policarbonato, etc.) con capelladas de cuero, lona o sintéticos.
Otros: Unión en frío de materiales sintéticos en industria automotriz, marroquinería y artesanías.",Maxón Blanco 53 Gal,MA-BL,53 Gal,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,1122010152,maxon-blanco-53-gal,,,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígado/riñones/sistema nervioso) tras exposiciones prolongadas. H361d: Se sospecha daña al feto.,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas; no fumar. P243: Tomar medidas contra descargas electrostáticas. P280: Usar guantes, ropa y protección ocular. P301+P310+P331: En caso de ingestión, llamar inmediatamente a un médico; no provocar el vómito. P303+P361+P353: En caso de contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: En caso de inhalación, llevar al aire libre. P332+P313: En caso de irritación cutánea, consultar a un médico. P370+P378: En caso de incendio, usar polvo químico seco, CO2 o espuma resistente al alcohol.","Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\circ}C$  -  $70^{\circ}C$ ). 4. Unir: Junte inmediatamente tras reactivar y ejerza presión firme con martillo, rodillo o prensa."
SI,MA-RP-120,Maxón Rápido,"Es un adhesivo de contacto de poliuretano en solventes cetónicos, reactivable por calor. Alta fuerza inicial y final, ideal para procesos rápidos y continuos.

Usos Principales:
Ensuelado de calzado.
Une suelas variadas (PVC, PU, goma, caucho vulcanizado, microporosas) con capelladas de cuero, lona y sintéticos
",Maxón Rápido 120cc,MA-RP,120cc,,Calzado,"Maderas y Espumas, Tapicería, Marroquinería",,0,1,,,maxon-rapido-120cc,,,ADHESIVO PU,Mayor viscosidad Secado rápido Alta fuerza inicial y final,,,,,H225: Líquido y vapores muy inflamables. H304: Puede ser mortal en caso de ingestión y penetración en las vías respiratorias. H315: Provoca irritación cutánea. H319: Provoca irritación ocular grave. H336: Puede provocar daños en órganos tras exposiciones prolongadas o repetidas. H361d: Se sospecha de daño en el feto.,"P210: mantener alejado del calor, chispas y llamas, no fumar. P243: tomar medidas contra descargas electrostáticas. P280: usar guantes, ropa y protección ocular. P301+P310: en caso de ingestión, llamar inmediatamente a un centro médico. P303+P361+P353: en contacto con la piel, retirar ropa contaminada y enjuagar con agua. P304+P340: en caso de inhalación, trasladar al aire libre. P331: no provocar el vómito. P332+P313: en caso de irritación cutánea, consultar a un médico. P370+P378: en caso de incendio, usar polvo químico, CO2 o espuma. P102: mantener fuera del alcance de los niños.","Preparar: asegure que las superficies estén limpias y libres de polvo, grasa, aceites o tintas, y realice el pretratamiento según el material; 2. Aplicar: aplique el adhesivo uniformemente en ambas superficies con brocha, cepillo, espátula o sistema cerrado; 3. Secado: deje secar entre 10 minutos y 24 horas según condiciones; 4. Unir: reactive al calor entre  $55^{\circ}C$  y  $70^{\circ}C$  y una inmediatamente aplicando presión con martillo, rodillo o prensa."
